dataset,regime,model,accuracy,acc_lo,acc_hi,macro_f1,f1_lo,f1_hi,mae,mae_lo,mae_hi,one_off,off_lo,off_hi,sev_under,sev_lo,sev_hi
oulad,prospective,LogisticRegression,0.576,0.562,0.591,0.449,0.433,0.466,0.545,0.524,0.565,0.886,0.877,0.895,0.074,0.067,0.081
oulad,prospective,RandomForest,0.621,0.608,0.634,0.505,0.489,0.522,0.461,0.443,0.479,0.919,0.911,0.926,0.073,0.066,0.080
oulad,prospective,GradientBoosting,0.617,0.605,0.631,0.524,0.508,0.541,0.462,0.444,0.478,0.923,0.915,0.930,0.068,0.061,0.075
oulad,prospective,XGBoost,0.614,0.601,0.628,0.527,0.510,0.544,0.467,0.449,0.484,0.922,0.914,0.929,0.066,0.059,0.073
oulad,prospective,LSTM,0.567,0.554,0.581,0.552,0.538,0.566,0.510,0.492,0.529,0.935,0.928,0.942,0.061,0.055,0.069
oulad,prospective,BiLSTM-Attention,0.571,0.557,0.585,0.553,0.539,0.566,0.515,0.496,0.534,0.929,0.922,0.936,0.066,0.059,0.073
oulad,contemporaneous,LogisticRegression,0.701,0.687,0.714,0.623,0.605,0.639,0.312,0.298,0.326,0.988,0.985,0.991,0.009,0.007,0.012
oulad,contemporaneous,RandomForest,0.712,0.699,0.724,0.639,0.623,0.654,0.311,0.297,0.326,0.978,0.974,0.982,0.020,0.016,0.024
oulad,contemporaneous,GradientBoosting,0.721,0.709,0.734,0.658,0.643,0.672,0.293,0.279,0.306,0.987,0.984,0.990,0.012,0.009,0.015
oulad,contemporaneous,XGBoost,0.715,0.703,0.728,0.653,0.638,0.668,0.295,0.283,0.308,0.989,0.986,0.992,0.010,0.007,0.012
oulad,contemporaneous,LSTM,0.696,0.683,0.709,0.667,0.653,0.681,0.311,0.298,0.324,0.993,0.991,0.996,0.006,0.004,0.008
oulad,contemporaneous,BiLSTM-Attention,0.693,0.681,0.706,0.667,0.653,0.681,0.313,0.300,0.326,0.994,0.992,0.996,0.004,0.003,0.006
ednet,prospective,LogisticRegression,0.577,0.561,0.594,0.403,0.391,0.417,0.481,0.461,0.501,0.948,0.940,0.954,0.008,0.005,0.011
ednet,prospective,RandomForest,0.603,0.588,0.619,0.456,0.438,0.476,0.450,0.430,0.469,0.953,0.947,0.959,0.008,0.006,0.011
ednet,prospective,GradientBoosting,0.606,0.592,0.623,0.459,0.439,0.479,0.442,0.423,0.461,0.956,0.949,0.962,0.005,0.003,0.008
ednet,prospective,XGBoost,0.595,0.580,0.611,0.450,0.433,0.471,0.465,0.445,0.484,0.947,0.940,0.954,0.011,0.008,0.014
ednet,prospective,LSTM,0.527,0.512,0.544,0.465,0.450,0.479,0.675,0.650,0.701,0.844,0.834,0.855,0.132,0.122,0.143
ednet,prospective,BiLSTM-Attention,0.522,0.506,0.538,0.457,0.442,0.472,0.669,0.643,0.695,0.853,0.842,0.864,0.119,0.109,0.129
ednet,contemporaneous,LogisticRegression,0.986,0.982,0.990,0.932,0.899,0.961,0.014,0.010,0.018,1.000,1.000,1.000,0.000,0.000,0.000
ednet,contemporaneous,RandomForest,0.999,0.999,1.000,1.000,0.999,1.000,0.001,0.000,0.001,1.000,1.000,1.000,0.000,0.000,0.000
ednet,contemporaneous,GradientBoosting,0.999,0.999,1.000,1.000,0.999,1.000,0.001,0.000,0.001,1.000,1.000,1.000,0.000,0.000,0.000
ednet,contemporaneous,XGBoost,0.999,0.998,1.000,0.986,0.968,0.997,0.001,0.000,0.002,1.000,1.000,1.000,0.000,0.000,0.000
ednet,contemporaneous,LSTM,0.992,0.989,0.995,0.972,0.952,0.988,0.008,0.005,0.011,1.000,1.000,1.000,0.000,0.000,0.000
ednet,contemporaneous,BiLSTM-Attention,0.985,0.981,0.989,0.959,0.936,0.977,0.015,0.011,0.019,1.000,1.000,1.000,0.000,0.000,0.000
